start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
245.63928027210883,246.30104897959183,31,51,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
242.73550204081633,242.87482176870748,31,53,1,1,1,1,1,1,1,1,1,1,1,1
241.9447396825397,242.1537192743764,39,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241.89829977324263,242.223379138322,45,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241.0972113378685,242.0376195011338,69,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,-5,-5,-5,1,1,1,-5,-5,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,-5,-5,-5,1,1,1,1,1,1,1,-5,-5,1,1,1,1,-5,1,1,1,1,1,1,1,1,1
236.18233922902496,236.2984390022676,84,48,1,1,1,1,1,1,1,1,1,-5
236.18233922902496,236.82217188208617,82,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235.40447074829933,236.18233922902496,82,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235.27676099773245,235.2883709750567,81,19,4
235.17227120181408,235.40447074829933,82,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235.05617142857145,235.54379047619048,84,54,2,1,1,2,2,2,1,1,1,1,1,1,1,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235.05617142857145,235.11422131519276,62,44,1,1,1,1,1
234.82397188208617,234.99812154195013,81,47,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
